Datum;BundeslandID;Name;BestaetigteFaelleBundeslaender;Todesfaelle;Genesen;Hospitalisierung;Intensivstation;Testungen;TestungenPCR;TestungenAntigen
2021-03-27T09:30:00+01:00;3;Niederösterreich;90294;1514;80961;448;105;5025191;1381885;3643306
2021-03-27T09:30:00+01:00;4;Oberösterreich;97285;1582;91243;280;67;3252545;606881;2645664
2021-03-27T09:30:00+01:00;5;Salzburg;42817;533;39335;120;24;1320211;314792;1005419
2021-03-27T09:30:00+01:00;6;Steiermark;64450;1849;58346;314;58;2698663;580529;2118134
2021-03-27T09:30:00+01:00;7;Tirol;53118;592;49864;137;25;2211937;691486;1520451
2021-03-27T09:30:00+01:00;8;Vorarlberg;25052;280;24103;24;1;1196919;195074;1001845
2021-03-27T09:30:00+01:00;9;Wien;112059;1872;100365;660;187;4637257;2137532;2499725
2021-03-27T09:30:00+01:00;10;Österreich;533786;9231;488964;2156;504;22194436;6333726;15860710
2021-03-28T09:30:00+02:00;1;Burgenland;15556;274;13915;96;25;927611;180786;746825
2021-03-28T09:30:00+02:00;2;Kärnten;33416;740;31130;84;17;934873;246684;688189
2021-03-28T09:30:00+02:00;3;Niederösterreich;90820;1520;81680;435;110;5086477;1388767;3697710
2021-03-28T09:30:00+02:00;4;Oberösterreich;97705;1585;91705;287;69;3276807;609524;2667283
2021-03-28T09:30:00+02:00;5;Salzburg;42904;534;39525;117;23;1331590;315978;1015612
2021-03-28T09:30:00+02:00;6;Steiermark;64736;1850;58661;312;54;2755439;582924;2172515
2021-03-28T09:30:00+02:00;7;Tirol;53355;592;50023;145;29;2229212;696416;1532796
2021-03-28T09:30:00+02:00;8;Vorarlberg;25107;280;24131;25;1;1218096;195695;1022401
2021-03-28T09:30:00+02:00;9;Wien;112866;1881;100849;650;191;4695367;2166958;2528409
